"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 04 09:40:10 GMT 2024","Sun Aug 04 09:40:22 GMT 2024","12517","demoqa","../tests-demoqa/textBoxKeysAndShortNew.spec.ts","@Demoqa Text Box Tests","","","TC 2: E2E. Enter and remove data from input text fields and via keys and shortcuts and cycle",""
"passed","Sun Aug 04 09:41:58 GMT 2024","Sun Aug 04 09:41:59 GMT 2024","1120","setup","auth.setupNew.spec.ts","","","","default authentication for client app",""
"passed","Sun Aug 04 09:42:12 GMT 2024","Sun Aug 04 09:42:17 GMT 2024","4261","client app","hiddenElements.spec.ts","","","","@Web TC: Verify popup validation",""
"passed","Sun Aug 04 09:41:48 GMT 2024","Sun Aug 04 09:41:52 GMT 2024","3872","demoqa","../tests-demoqa/upalodAndDownload.spec.ts","@Demoqa Download and Upload tests","","","TC_1: Verify downloading 1 file",""
"passed","Sun Aug 04 09:39:28 GMT 2024","Sun Aug 04 09:39:40 GMT 2024","11694","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: Verify success login to client app with nspprotest@gmail.com and Pl@ywright_test_m1",""
"passed","Sun Aug 04 09:41:52 GMT 2024","Sun Aug 04 09:41:56 GMT 2024","4129","demoqa","../tests-demoqa/upalodAndDownload.spec.ts","@Demoqa Download and Upload tests","","","TC_2: Verify uploading 1 file",""
"passed","Sun Aug 04 09:42:53 GMT 2024","Sun Aug 04 09:42:53 GMT 2024","34","teardown","auth.tearDown.spec.ts","Teardown","","","Remove ${authFile} after running client app tests",""
"passed","Sun Aug 04 09:40:22 GMT 2024","Sun Aug 04 09:40:30 GMT 2024","7880","demoqa","../tests-demoqa/textBoxKeysAndShortNew.spec.ts","@Demoqa Text Box Tests","","","TC 3: E2E. Enter and remove data from input text fields and via keys and shortcuts",""
"passed","Sun Aug 04 09:42:26 GMT 2024","Sun Aug 04 09:42:30 GMT 2024","3318","client app","uiBasics.spec.ts","","","","@Web TC:Catch unshowing message and Verify text message",""
"passed","Sun Aug 04 09:39:40 GMT 2024","Sun Aug 04 09:39:44 GMT 2024","4069","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: Verify success login to client app with anshika@gmail.com and Iamking@000",""
"passed","Sun Aug 04 09:41:12 GMT 2024","Sun Aug 04 09:41:48 GMT 2024","36014","demoqa","../tests-demoqa/textBoxKeysAndShortOld.spec.ts","@Demoqa Text Box Tests","","","TC 3: E2E. Enter and remove data from input text fields and via keys and shortcuts",""
"passed","Sun Aug 04 09:42:45 GMT 2024","Sun Aug 04 09:42:52 GMT 2024","7000","client app","uiFrames.spec.ts","","","","@Web TC: Verify UI IFrame",""
"passed","Sun Aug 04 09:39:44 GMT 2024","Sun Aug 04 09:39:52 GMT 2024","8345","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: E2E for ordering IPHONE 13 PRO",""
"passed","Sun Aug 04 09:40:03 GMT 2024","Sun Aug 04 09:40:10 GMT 2024","7086","demoqa","../tests-demoqa/textBoxAndFaker.spec.ts","@Demoqa Text Box Tests","","","TC 1: Fill out input text fields by data from faker lib",""
"passed","Sun Aug 04 09:42:17 GMT 2024","Sun Aug 04 09:42:22 GMT 2024","5345","client app","hiddenElements.spec.ts","","","","@Web TC: Verify hover and select needed item",""
"passed","Sun Aug 04 09:42:42 GMT 2024","Sun Aug 04 09:42:45 GMT 2024","2536","client app","uiBasics.spec.ts","","","","@Web TC: Child windows handling",""
"passed","Sun Aug 04 09:42:07 GMT 2024","Sun Aug 04 09:42:12 GMT 2024","5528","client app","hiddenElements.spec.ts","","","","@Web TC: Verify hidden elements",""
"passed","Sun Aug 04 09:40:30 GMT 2024","Sun Aug 04 09:41:12 GMT 2024","41729","demoqa","../tests-demoqa/textBoxKeysAndShortOld.spec.ts","@Demoqa Text Box Tests","","","TC 2: E2E. Enter and remove data from input text fields and via keys and shortcuts and cycle",""
"passed","Sun Aug 04 09:42:00 GMT 2024","Sun Aug 04 09:42:07 GMT 2024","7072","client app","hiddenElements.spec.ts","","","","@Web TC: Verify goBack and goForward methods",""
"passed","Sun Aug 04 09:39:52 GMT 2024","Sun Aug 04 09:40:01 GMT 2024","8695","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: E2E for ordering ZARA COAT 3",""
"passed","Sun Aug 04 09:42:22 GMT 2024","Sun Aug 04 09:42:26 GMT 2024","4423","client app","hiddenElements.spec.ts","","","","@Web TC: Verify work of screenshot and visual comparison",""
"passed","Sun Aug 04 09:42:40 GMT 2024","Sun Aug 04 09:42:42 GMT 2024","2141","client app","uiBasics.spec.ts","","","","@Web TC: Verify UI controls",""
"passed","Sun Aug 04 09:42:35 GMT 2024","Sun Aug 04 09:42:40 GMT 2024","5267","client app","uiBasics.spec.ts","","","","@Web TC: Retrive all card titles from home page",""
"passed","Sun Aug 04 09:42:30 GMT 2024","Sun Aug 04 09:42:35 GMT 2024","5205","client app","uiBasics.spec.ts","","","","@Web TC:Verify presence of iphone X in product list",""
