"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 21 09:41:33 GMT 2023","Tue Nov 21 09:41:44 GMT 2023","11013","chromium","hiddenElements.spec.ts","","","","TC: Verify goBack and goForward methods",""
"passed","Tue Nov 21 09:39:23 GMT 2023","Tue Nov 21 09:39:27 GMT 2023","4178","chromium","ClientApp.spec.ts","","","","TC: Verify success login to client app",""
"passed","Tue Nov 21 09:42:07 GMT 2023","Tue Nov 21 09:42:10 GMT 2023","3326","chromium","locators.spec.ts","","","","TC: Add product to cart via LOCATORS",""
"skipped","Tue Nov 21 09:41:33 GMT 2023","Tue Nov 21 09:41:33 GMT 2023","1","chromium","ClientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: E2E for ordering zara coat 3",""
"passed","Tue Nov 21 09:42:40 GMT 2023","Tue Nov 21 09:42:48 GMT 2023","7539","chromium","uiFrames.spec.ts","","","","@Web TC: Verify UI IFrame",""
"passed","Tue Nov 21 09:42:25 GMT 2023","Tue Nov 21 09:42:30 GMT 2023","4988","chromium","UIBasics.spec.ts","","","","@Web TC:Verify presence of iphone X in product list",""
"passed","Tue Nov 21 09:38:54 GMT 2023","Tue Nov 21 09:38:55 GMT 2023","1249","setup","auth.setupNew.spec.ts","","","","authenticate default for client app",""
"passed","Tue Nov 21 09:42:01 GMT 2023","Tue Nov 21 09:42:07 GMT 2023","5618","chromium","hiddenElements.spec.ts","","","","TC: Verify work of screenshot and visual comparison",""
"passed","Tue Nov 21 09:42:10 GMT 2023","Tue Nov 21 09:42:15 GMT 2023","4536","chromium","mytest.spec.ts","","","","TC: Verify success login",""
"skipped","Tue Nov 21 09:41:33 GMT 2023","Tue Nov 21 09:41:33 GMT 2023","1","chromium","ClientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: Verify success login to client app with nspprotest@gmail.com and Pl@ywright_test_m1",""
"passed","Tue Nov 21 09:39:16 GMT 2023","Tue Nov 21 09:39:18 GMT 2023","1043","chromium","apiWebPart2.spec.ts","","","","TC: Verify success login",""
"passed","Tue Nov 21 09:42:15 GMT 2023","Tue Nov 21 09:42:21 GMT 2023","6392","chromium","networkTest.spec.ts","","","","TC: Verify absence of order via intercepted request",""
"skipped","Tue Nov 21 09:42:21 GMT 2023","Tue Nov 21 09:42:21 GMT 2023","1","chromium","networkTest2.spec.ts","","","","TC: Verify order by unauthorized user. Security check",""
"broken","Tue Nov 21 09:41:02 GMT 2023","Tue Nov 21 09:41:33 GMT 2023","31231","chromium","ClientApp.spec.ts","","","","TC: E2E for ordering IPHONE 13 PRO cell phone",""
"passed","Tue Nov 21 09:41:55 GMT 2023","Tue Nov 21 09:42:01 GMT 2023","6197","chromium","hiddenElements.spec.ts","","","","TC: Verify hover and select needed item",""
"skipped","Tue Nov 21 09:41:33 GMT 2023","Tue Nov 21 09:41:33 GMT 2023","0","chromium","ClientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: E2E for ordering iphone 13 pro",""
"passed","Tue Nov 21 09:39:18 GMT 2023","Tue Nov 21 09:39:19 GMT 2023","992","chromium","auth.setupNew.spec.ts","","","","authenticate default for client app",""
"skipped","Tue Nov 21 09:42:07 GMT 2023","Tue Nov 21 09:42:07 GMT 2023","1","chromium","hiddenElements.spec.ts","","","","TC: Capture and compare screenshots",""
"passed","Tue Nov 21 09:38:56 GMT 2023","Tue Nov 21 09:39:02 GMT 2023","6718","chromium","apiWebPart1.spec.ts","","","","E2E for ordering IPHONE 13 PRO cell phone with mix UI and API",""
"passed","Tue Nov 21 09:39:02 GMT 2023","Tue Nov 21 09:39:16 GMT 2023","14110","chromium","apiWebPart2.spec.ts","","","","E2E iphone ordering with separate auth approach",""
"passed","Tue Nov 21 09:42:34 GMT 2023","Tue Nov 21 09:42:37 GMT 2023","2361","chromium","UIBasics.spec.ts","","","","@Web TC: Verify UI controls",""
"passed","Tue Nov 21 09:41:44 GMT 2023","Tue Nov 21 09:41:50 GMT 2023","5450","chromium","hiddenElements.spec.ts","","","","TC: Verify hidden elements",""
"skipped","Tue Nov 21 09:41:33 GMT 2023","Tue Nov 21 09:41:33 GMT 2023","0","chromium","ClientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: Verify success login to client app with anshika@gmail.com and Iamking@000",""
"passed","Tue Nov 21 09:42:30 GMT 2023","Tue Nov 21 09:42:34 GMT 2023","4971","chromium","UIBasics.spec.ts","","","","@Web TC: Retrive all card titles from home page",""
"passed","Tue Nov 21 09:42:21 GMT 2023","Tue Nov 21 09:42:25 GMT 2023","3245","chromium","UIBasics.spec.ts","","","","@Web TC:Catch unshowing message and Verify text message",""
"passed","Tue Nov 21 09:41:50 GMT 2023","Tue Nov 21 09:41:55 GMT 2023","5359","chromium","hiddenElements.spec.ts","","","","TC: Verify popup validation",""
"passed","Tue Nov 21 09:42:37 GMT 2023","Tue Nov 21 09:42:40 GMT 2023","3160","chromium","UIBasics.spec.ts","","","","@Web TC: Child windows handling",""
